target_number,archetype_id,archetype_label,company_name,website_url,location_city,location_country,estimated_scale,decision_maker_name,decision_maker_title,contact_route,commercial_validation_signal,observable_friction,kachmo_solution_angle,personalized_outreach_hook
011,1: White-Label Agency,1: White-Label Agency,Moniker,https://monikersf.com,San Francisco,United States,Small senior-only identity studio,Studio Principals,Founders,hello@monikerSF.com,"San Francisco identity studio combining design, language and strategy; Red Dot award-winning; startups to established brands","Work lives in naming, identity systems, packaging and motion; no in-house software-engineering capability, so digitally expressed identities depend on external production partners.","Engineering partner for turning Moniker's identity and motion systems into production React/GSAP sites, under NDA",Moniker's identity and motion work deserves engineered sites that match its precision; we welcome acting as your production arm.
012,1: White-Label Agency,1: White-Label Agency,Shawn Scott Studio,https://www.shawnscott.studio,San Francisco,United States,Boutique food-and-beverage branding studio,Shawn Scott,Founder,via contact page (shawnscott.studio/contact),"Food, beverage and hospitality branding studio; award-winning portfolio across restaurants, CPG and lifestyle brands","Specialist F&B branding studio with no engineering capability; hospitality clients needing reservation flows, menus or launch sites must source build work elsewhere.",Quiet build partner for restaurant/hospitality sites and landing experiences delivered under the studio's brand,"Your F&B identity work is excellent; when clients ask for the accompanying site, we build it invisibly to your standard."
013,1: White-Label Agency,1: White-Label Agency,Strohl,https://strohlsf.com,San Francisco,United States,Boutique brand and packaging studio,Daniel Lurie,Founder,via contact page (strohlsf.com/contact),"Specialised brand and packaging design for Axiom Space, Google Gemini, Timbuk2, American Giant, Ibis Cycles, Craftsman and Wolves","Boutique brand/packaging studio focused on identity and physical artefacts; digital work is presentation-level with no production engineering bench, leaving live digital to vendors.",White-label Next.js/GSAP execution for brand and launch sites that carry Strohl's craft into production,Strohl's work for Axiom and Google deserves engineered sites to match; we can act as your invisible production partner.
014,1: White-Label Agency,1: White-Label Agency,Elixir Design,https://www.elixirdesign.com,San Francisco,United States,"Established identity firm, founded 1992",Jennifer Jerde,Founder & Creative Director,info@elixirdesign.com,"Long-established women-led brand identity firm; strategists, writers and designers serving purpose-driven brands (+1 415 834 0300)","Established identity practice organised around strategy, identity and content creation rather than engineering; complex interactive frontends fall outside a traditional identity studio's model.","Selective white-label partnership for digital expressions of identity requiring production-grade React, GSAP or WebGL","Elixir's human-centred identity work is distinguished; for projects needing deeper interaction engineering, we serve as your trusted build partner."
015,1: White-Label Agency,1: White-Label Agency,Wunder,https://wunder.nl,Amsterdam,Netherlands,"Branding bureau, small senior team",Studio Principals,Founders,hello@wunder.nl,"Amsterdam branding bureau covering strategy, design and naming, recognised in Dutch design circles (Leidsestraat)","Pure brand-strategy and design bureau with no engineering function; any website dimension must be sourced externally, suiting a white-label arrangement.","Preferred execution partner for brand-site builds where strategy-led identity meets production frontend, under NDA","Wunder's strategy-led branding is rigorous; when a project needs a production-grade build, we deliver it invisibly behind your name."
016,1: White-Label Agency,1: White-Label Agency,Wonderland,https://wonderland.studio,Amsterdam,Netherlands,Experience and brand identity studio,Studio Principals,Founders,hello@wonderland.studio,"Amsterdam experience and brand identity studio: strategy, design and sustainability for growth brands (Vinkenstraat 119)",Brand and experience studio strong in strategy/design direction rather than in-house software engineering; custom-coded interactive experiences are a natural partner extension.,White-label partner for coded experience pieces and brand sites (React/GSAP/WebGL) aligned to their design direction,Wonderland builds memorable brand experiences; we handle the production engineering so they perform flawlessly in-browser.
017,1: White-Label Agency,1: White-Label Agency,Helder,https://helder.design,Berlin,Germany,Core team of five plus two partners,Dr. Birgit Joest,"Co-Founder, Strategy Director",studio@helder.design,Berlin brand strategy and design studio led by Dr. Birgit Joest and Maurits den Held; established European brands and institutions,Roll-out reach extends to communications and website implementation via a partner network rather than a dedicated engineering squad; ambitious custom frontends warrant a specialist partner.,"Specialist engineering partner for bespoke interactive brand sites, engaged per project under NDA",Helder's strategic brand work is considered; for technically ambitious site builds we act as your specialist implementation arm.
018,1: White-Label Agency,1: White-Label Agency,A New Day Studio,https://anewday.studio,Berlin,Germany,Independent brand identity studio,Studio Principals,Founders,hello@anewday.studio,"Berlin creative studio focussed on brand identity design: strategy, creative direction and execution",Digital offering centres on website relaunch direction rather than in-house engineering; heavy interactive work is a clear overflow opportunity.,Project-based white-label engineering for campaigns and relaunches demanding custom React/GSAP beyond templates,A New Day's focused identity work is compelling; for technically demanding builds we step in as your silent engineering partner.
019,1: White-Label Agency,1: White-Label Agency,Violet Office,https://violetoffice.com,Berlin,Germany,Small independent brand design studio,Calvin Waterman,Co-Founder & Creative Director,via contact page (violetoffice.com/contact),"Berlin-founded studio working globally across identity, motion, digital products and physical objects; alumni of AOL, Google, Levi's rebrands","Digital product work leans toward prototyping and ecommerce delivery; deep custom creative engineering (WebGL, advanced motion systems) sits outside their discipline.","Specialist overflow partner for high-end creative frontend (React/GSAP/WebGL) within broader design engagements, under NDA","Violet Office's identity and motion range is impressive; where a brief needs specialist production engineering, we partner quietly."
020,1: White-Label Agency,1: White-Label Agency,studio sesenta,https://www.studiosesenta.com,Vienna,Austria,Independent branding studio,Studio Principals,Founders,hi@studiosesenta.com,"Vienna branding studio featured by Forbes, DerStandard, Brand Eins; client projects report measurable revenue uplift","Branding studio with proven strategy/identity outcomes; no in-house engineering capability presented, so live digital expression of identities is outsourced by default.",White-label execution partner converting brand systems into performant Next.js/GSAP sites under the studio's name,"sesenta's results-driven branding is notable; for the digital layer of ambitious projects, we serve as your engineering partner."
021,1: White-Label Agency,1: White-Label Agency,Granyon,https://www.granyon.com,Copenhagen,Denmark,Senior-only design studio,Studio Principals,Founders,hello@granyon.com,Copenhagen senior-only design studio working with values-driven brands on identity and digital design,Design-led studio focused on identity and digital design direction; senior-only creative team with no dedicated frontend-engineering bench.,Specialist white-label frontend partner for identity-driven digital work requiring React/GSAP craft,"Granyon's values-led design work is accomplished; where projects need production engineering, we serve as your code partner under NDA."
022,1: White-Label Agency,1: White-Label Agency,Side Perspectives,https://sideperspectives.com,Vienna,Austria,Independent graphic design studio,Studio Principals,Founders,hello@sideperspectives.com,"Vienna graphic design studio covering branding, editorial and visual identity for European clients (Mildeplatz 11/14)",Independent graphic design studio with a branding/editorial focus and no stated engineering function; custom-code digital commissions need an external production partner.,Discrete white-label partner for editorial-style brand sites and interactive storytelling in React/GSAP,"Side Perspectives' editorial and identity work is refined; when a project demands custom frontend, we build it invisibly."
023,1: White-Label Agency,1: White-Label Agency,We Are Colette,https://wearecolette.com,Toronto,Canada,Owner-led branding agency and design studio,Founding Partners,Owners,via contact page (wearecolette.com/contact),"Strategic branding consultancy for founders, CMOs and executives; clients include MCAN Financial, Clearspeed, Tidal Equality, University of Toronto","Owner-led branding studio whose web offering covers marketing-site design and development; bespoke interactive engineering (GSAP-heavy narrative, WebGL) is a complementary overflow niche.","Partner for high-interaction digital pieces scoped per project, delivered under the Colette brand under NDA","Colette's brand strategy work for Canadian institutions is solid; for builds needing deeper motion engineering, we partner quietly."
024,1: White-Label Agency,1: White-Label Agency,Lolo Agency,https://loloagency.com,Toronto,Canada,Boutique brand and design agency,Founding Partners,Founders,via contact form (loloagency.com),"The Agency of Love and Logic (formerly The Workhouse), Toronto; brand strategy, visual systems, art direction and editorial for Canadian organisations","Boutique branding agency focused on strategy and design direction; development is secondary to creative, making custom production engineering a clean overflow opportunity.",Reliable white-label execution for Next.js/GSAP brand builds exceeding an agency's usual bandwidth,"Lolo's love-and-logic approach to branding resonates; when execution needs specialist engineering, we act as your trusted partner."
025,1: White-Label Agency,1: White-Label Agency,Moloobhoy & Brown,https://www.moloobhoybrown.com,Dubai,United Arab Emirates,Strategic brand design studio,Studio Principals,Founders,via contact page (moloobhoybrown.com/contact-us),"Dubai strategic brand design studio with a portfolio including Jumeirah, Virgin Megastore and regional/international brands","Strategic brand design studio whose output is identity- and campaign-led; there is no in-house engineering bench, so digital build work is naturally sourced externally.",Preferred white-label engineering arm for brand and campaign sites delivered invisibly for Dubai partner studios,Moloobhoy & Brown's regional brand work is distinctive; we supply the production-engineering layer for partner projects under NDA.
026,1: White-Label Agency,1: White-Label Agency,Formulate Creative,https://www.formulatecreative.com,Dubai,United Arab Emirates,Close-knit boutique branding studio,Studio Principals,Founders,via quote request form (formulatecreative.com),"Dubai boutique branding studio; clients include ALEC, Jumeirah Group, AWS, Central Bank UAE and Dubai Holding",Boutique branding studio serving large institutional clients with identity and strategy; custom interactive engineering sits outside a small studio's in-house capability.,White-label partner for institutional-grade brand sites and launch experiences in Next.js/GSAP under NDA,"Formulate's work for institutions like ALEC and the Central Bank is substantial; for technically ambitious builds, we partner invisibly."
027,1: White-Label Agency,1: White-Label Agency,Mixed Elements Design Studio,https://www.medesignstudio.me,Dubai,United Arab Emirates,Boutique brand and packaging design studio,Studio Principals,Founders,via contact form (medesignstudio.me),Boutique Dubai brand and packaging design studio serving regional consumer and lifestyle brands,Packaging and brand design specialism with no engineering function; live digital expressions of brand identities require an external build partner.,Quiet white-label partner for packaging-brand launch sites and micro-experiences in React/GSAP,"Mixed Elements' packaging work is finely crafted; we build the accompanying interactive sites for partner studios, invisibly."
028,1: White-Label Agency,1: White-Label Agency,Non-Object,https://non-object.com,Vienna,Austria,Independent typography and brand identity studio,Artem Matyushkin,Co-Founder,via contact page (non-object.com/contact),"Independent typography and brand identity studio with studios in Paris, Seoul, Tbilisi and Vienna; European and Asian clients",Typography-led brand identity studio with no software-engineering capability; digital realisation of identity systems depends on external production partners.,Execution partner for production-grade typographic and interactive sites (React/GSAP) realised from Non-Object's identity systems,Non-Object's typographic precision across its international studios is exceptional; we engineer the sites those systems power.
029,1: White-Label Agency,1: White-Label Agency,Chukster Studio,https://chukster.com,Copenhagen,Denmark,Multinational independent studio,Rebecca Meyer,Creative Director,via contact page (chukster.com/contact),"Frederiksberg/Copenhagen creative studio led by Rebecca Meyer and Steven Hubbard; identity, campaign and packaging internationally","Independent creative studio spanning identity, campaigns and packaging; digital delivery is design-direction-led rather than engineering-led, leaving production builds to partners.",White-label engineering partner for campaign sites and brand experiences requiring GSAP/Next.js/WebGL depth,Chukster's international identity and campaign work is strong; we carry those campaigns into production code as your silent build partner.
030,1: White-Label Agency,1: White-Label Agency,Thonik,https://www.thonik.nl,Amsterdam,Netherlands,"Independent design studio, approx. 20-30 people",Thomas Widdershoven,Co-Founder & Creative Director,info@thonik.nl,"Thonik is a highly influential Amsterdam studio recognised for cultural, political and social brand work and self-initiated publishing","Influential independent studio whose primary discipline is brand identity, publication and spatial/cultural design rather than software engineering; technically complex sites are naturally partnered out.",Selective white-label engineering partner for culturally significant brand sites requiring custom interactive craft,"Thonik's cultural and political brand work is iconic; for projects needing specialist production engineering, we can support under NDA."
031,2: Startup Craft Upgrade,2: Startup Craft Upgrade,End Close,https://endclose.com,London,United Kingdom,"YC-backed Winter 2026, team of 2",Sean Bolton,Founder/CEO,founders@endclose.com,YC Winter 2026; reconciliation automation for high-volume payments companies handling a trillion dollars annually (team previously reconciled a trillion/yr at Modern Treasury),"Custom-built Next.js marketing site that reads like a procurement evaluation document: dense feature matrices and vendor-comparison tables dominate the scroll, and 'Book a demo' routes to a founder's personal Calendly link. Credible and thorough, but there is no distinctive product narrative or visual identity above the fold.","7-14 day hero and narrative rework that converts the dense value proposition into a crisp, visually differentiated first screen while preserving technical depth",End Close reconciles trillions with impressive rigor; your landing page matches that density but buries the story. We sharpen first-screen craft without losing technical credibility.
032,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Kestrel AI,https://usekestrel.ai,San Francisco,United States,"YC-backed Fall 2025, seed-backed (Chispa VC, Founder Factor, Team Ignite), team of 2",Raman Varma,Founder/CEO,demo booking (calendly.com/hello-usekestrel),"YC Fall 2025; AI workflow automation for platform engineering, $1,000 usage credits offering and 14-day trial, backed by early-stage VC funding","Polished developer-marketing site whose visual language leans on integration logos, CLI/SDK snippets and workflow diagrams rather than a distinctive product identity; the hero carries the generic 'Backed by Y Combinator' badge stack common across the AI-devtools cohort.",Visual-distinction pass on the hero and first fold so platform-engineering value reads beyond the standard devtool template,Kestrel's deterministic workflow engine is genuinely differentiated; the landing page currently reads like every other AI-devtools template. We would make the first screen match the engineering.
033,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Moss,https://moss.dev,San Francisco,United States,"YC-backed Winter 2025, 500K+ npm installs, founder ex-Grammarly/Microsoft ML Lead",Sri Raghu Malireddi,Founder,founders@moss.dev,"YC Winter 2025; sub-10ms real-time semantic search runtime replacing vector databases; production deployments at Grammarly, Microsoft, Zomato and Consensus","Technical credibility is communicated through benchmark charts and a logo wall, but the page is a classic devtool feature dump: value carried by latency numbers and vector-DB comparisons inside a generic dark-mode developer aesthetic with little bespoke brand language.",Developer-site craft pass that translates sub-10ms performance into a first screen selling to both engineers and buying executives,"Moss's sub-10ms retrieval is a compelling technical win; the site explains it through benchmark charts alone. We translate that performance into a first screen that sells to buyers, not just builders."
034,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Marker,https://onmarker.com,San Francisco,United States,"YC-backed Summer 2026, team of 3 (ex-Gap Office of AI)",Will Drevno,Co-Founder,via contact page (onmarker.com/contact),YC Summer 2026; founders sold their last company to Gap and ran its Office of AI; embeds to ship AI agents in weeks,Astro-built narrative landing page that opens with a long essay-style problem/alternatives/solution argument and Gap Office of AI provenance; persuasive copy but visually text-forward with minimal product UI and no distinctive visual system separating it from consultancy copy.,"Narrative compression and visual-system pass turning the essay into a tight, product-led first screen with a visual identity","Marker's embedded-agents story is strong, but the landing page leads with an essay rather than a product. We tighten the narrative into a sharper, more visual first screen."
035,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Poth Labs,https://pothlabs.com,San Francisco,United States,"YC-backed Fall 2025, AI-native customer research platform, founder ex-Palantir/Stanford",Matthew Wong,Founder/CEO,matthew@pothlabs.com,"YC Fall 2025; customer knowledge graph mapping analytics, transcripts and CRM notes to cited answers for churn/adoption questions","Framer-built page with a hero video and clear CTAs ('Connect your data free', 'Book a demo'), but evidence blocks, member stories and an extensive integration-icon wall stack into a long, information-dense scroll with limited visual hierarchy — closer to a launch post than a conversion-oriented page.",Conversion-focused restructuring that keeps the evidence-led proof but introduces hierarchy and breathing room above the fold,Poth turns fragmented customer data into cited evidence; the landing page itself is fragmented across evidence blocks and integration walls. We would give it the same clarity you sell.
036,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Contrario,https://contrario.ai,San Francisco,United States,"YC-backed Winter 2025, team of 20, AI recruiting platform",Arya Marwaha,Founder/CEO,via contact page (contrario.ai/contact),YC Winter 2025; AI recruiting platform combining expert recruiters with AI for critical hires; trusted by teams at every stage,"Media-heavy Framer build (framerusercontent asset paths) stacking numbered benefit blocks, 'Live Matches' panels and repeated testimonial/carousel imagery; the carousel-like partner arrangement risks above-fold clutter and the layout reads assembly-line recruiting SaaS rather than a considered hiring-brand experience.",Restraint-and-hierarchy pass that reduces media density and gives a premium recruiting product a premium page,Contrario combines AI with expert recruiters effectively; heavy media stacking undercuts that premium positioning. We bring restraint and hierarchy back to the scroll.
037,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Corsair,https://www.corsair.dev,New York,United States,"YC-backed Winter 2025, open-source integration layer, team of 2",Dev Jain,Founder/CTO,via contact page (corsair.dev/contact),"YC Winter 2025; open-source production-grade integration layer with permissions, self-hosting and typed SDKs","Clean docs-first developer page dominated by pricing tiers, permissions copy and an FAQ block; follows the standard open-source-infra template (problem/solution bullets -> tier table -> FAQ) with honest messaging but no distinctive visual identity or product narrative above the fold.",Visual identity and first-fold narrative pass giving an honest open-source tool a distinct product presence,Corsair's open-source integration layer solves a real maintenance burden; the site explains it plainly but blends into the open-source-infra template set. We give it a distinct first impression.
038,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Promptless,https://promptless.ai,San Francisco,United States,"YC-backed Winter 2025, team of 5, AI agent governance",Prithvi Ramakrishnan,Co-Founder,via contact page (promptless.ai),"YC Winter 2025; governs and improves AI agent fleets from session traces, with metrics such as token spend down 18%",Homepage visibly repeats header/navigation blocks and customer-logo/testimonial sections; value is carried by metrics panels and agent-vendor logos rather than a distinctive product visual language.,De-duplication and visual-system pass reducing repetition and building a coherent page identity,Promptless teaches fleets of agents from every session; the homepage repeats itself and leans on metric panels. We tighten the page to match the precision of the product.
039,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Truffle AI,https://www.trytruffle.ai,Bengaluru,India,"YC-backed Winter 2025, team of 2, open-sourced Dexto orchestration layer",Shaunak Srivastava,Founder/CEO,via contact page (trytruffle.ai),YC Winter 2025; serverless AI-agent deployment and orchestration SDK supporting MCP and 100+ LLMs; open-sourced Dexto orchestration layer,"SDK-docs-first landing page assembled from boilerplate SaaS copy sections ('Transform Your Business with AI', 'Build, Deploy, Scale', 'Start Building Your AI Future') and template-like feature cards; demo routing points to a personal Calendly link rather than self-serve entry.",Full first-screen rewrite replacing boilerplate sections with product-specific storytelling and clearer self-serve entry,"Truffle abstracts agent infrastructure well; the landing page is assembled from generic SaaS sections. We replace the boilerplate with crafted, product-specific storytelling."
040,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Corelayer,https://www.corelayer.com,San Francisco,United States,"YC-backed Winter 2026, team of 3, production incident prevention for regulated industries",Mitch Radhuber,Founder/CEO,via demo page (corelayer.com/demo),"YC Winter 2026; proactive incident response and prevention for complex production environments, BYOC/on-prem with SOC 2 posture","Well-produced security-vendor landing pattern: architecture diagram -> integrations strip -> SOC 2 badge block -> FAQ. Credible and compliance-forward, but visually interchangeable with other infra-security pages and light on a distinctive product identity.",Distinctive product-identity pass separating a technically novel agent platform from the commodity security-template look,Corelayer prevents incidents in regulated environments; the site establishes trust but follows a predictable security-vendor layout. We make the craft as considered as the engineering.
041,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Clerked,https://clerked.ai,San Francisco,United States,"YC-backed Winter 2026, team of 3, AI clerks for accounts payable",Evan Meyer,Founder/CEO,via contact page (clerked.ai/contact),"YC Winter 2026; AI clerks that automate payables inside existing ERP systems, customers include Enve Composites, Odeko, Boyd Industries","Homepage front-loads customer logos and CFO/controller testimonial quotes before clearly stating what Clerked does; the value proposition emerges gradually through case-study snippets rather than a sharp above-fold message, and hierarchy is logo/testimonial-led.","Above-fold messaging restructure putting the product promise and clearest proof point first, with testimonials supporting rather than leading",Clerked automates accounts payable inside ERPs; the homepage leads with testimonials before the product. We put the clearest value statement above the fold.
042,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Dome,https://domeapi.io,San Francisco,United States,"YC-backed Fall 2025, team of 2, unified prediction-markets API; announced joining Polymarket",Kurush Dubash,Founder/CEO,support@domeapi.com,YC Fall 2025; unified API and SDK for Polymarket/Kalshi prediction-market data with historical orderbook access,"Assets served from a lovable-uploads path indicate an AI app-builder scaffold; the page reads as raw API documentation plus an embedded live-orderbook widget, topped by a prominent 'we're joining Polymarket' announcement banner.","Product-page craft pass for the Polymarket transition: a clean, conversion-oriented page replacing the raw docs-folder presentation","Dome unified prediction-market APIs elegantly; the site reads like its own docs folder. With the Polymarket transition, a clean product-facing page is timely."
043,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Fastshot,https://www.fastshot.ai,San Francisco,United States,"YC-backed Fall 2025, team of 3, no-code AI mobile-app builder shipping to App Store and Play Store",Dmitry Fatkhi,Founder/CEO,via contact page (fastshot.ai/contact),"YC Fall 2025; AI-powered no-code builder generating true native iOS/Android apps, trusted by 10,000+ builders","Explainer landing page built around step-by-step copy and prominent third-party integration promos (Adapty subscriptions, AdMob ads) placed high in the primary flow; communicates the offer but reads like a template app-builder page rather than a crafted product site.","Product-story restructure leading with shipped-app outcomes, with monetization integrations moved to supporting sections",Fastshot ships native apps without code; the landing page foregrounds ad and subscription integrations over the product promise. We reorder the story around what builders actually want.
044,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Lapis,https://www.trylapis.com,San Francisco,United States,"YC-backed Fall 2025, team of 5, self-improving paid-ads engine",Varunram Ganesh,Founder/CEO,via demo page (trylapis.com/demo?cta=home_hero_create_first_ad),"YC Fall 2025; AI agents that create, launch and optimize paid ads across Meta, Google, LinkedIn and Reddit; trusted by 1,500+ marketing teams","Polished card-based layout with G2 badges and demo-gated CTAs ('See Lapis in Action'), but value is carried by feature cards and trust badges in a familiar adtech-SaaS template; functional, not distinctive.",Visual-narrative pass replacing the feature-card grid with a distinctive story tying AI optimization to measurable ROAS outcomes,Lapis's self-improving ads engine is a sharp concept; the page presents it through feature cards and G2 badges. We make the visual story as adaptive as the product.
045,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Lemma,https://www.uselemma.ai,San Francisco,United States,"YC-backed Fall 2025, $2.3M pre-seed (Matrix/YC), team of 2, production monitoring for AI agents",Jerry Zhang,Co-Founder/CEO,founder demo (cal.com/jerryzhang/lemma-demo),YC Fall 2025; named by Forbes among top startups of the Fall 2025 batch; raises pre-seed to catch silent failures in AI agents,"Monitoring-tool landing page with a partner-logo carousel, Slack-like alert mockups and inline code/trace blocks; repeated header links and dense trace-metric panels clutter the scroll, communicating capability through dashboard screenshots rather than a distinctive visual identity.","Buyer-narrative restructure turning diagnostic detail into a clean story for engineering leaders, de-cluttering repeated elements","Lemma catches silent agent failures; the site shows alert screenshots and trace blocks. We turn diagnostic detail into a cleaner, buyer-ready narrative."
046,2: Startup Craft Upgrade,2: Startup Craft Upgrade,Lexi,https://getlexi.io,San Francisco,United States,"YC-backed Fall 2025, team of 15, legal-work operating system",Harshit Garg,Founder/CEO,via contact page (getlexi.io/contact),"YC Fall 2025; AI legal OS processing 20M+ documents across 200,000+ cases for 1,000+ organizations in 100+ languages","Hero and section background images compressed to q=45; the sponsor row repeats the identical YC/Plug and Play/Google/Lovable logo sequence three times consecutively, and the Lovable scaffold logo sits visibly in the trust block — functional but visibly assembled rather than bespoke.",Image-quality and visual-assembly cleanup plus a bespoke identity pass so the page matches the enterprise category it serves,Lexi processes millions of legal documents; the page shows image-compression artifacts and repeated sponsor rows. We make the visual layer match the enterprise claim.
